Nimi,Riiklikud Maksud,Tööjõumaksud ja maksed,Käive,Töötajaid
NESTE EESTI AS,33306638,168758,75664274,49
OILTANKING TALLINN AS,31877221,116794,893491,34
AS TARTU TERMINAL,30419247,205605,33859649,102
PHILIP MORRIS EESTI OÜ,29895316,69079,31276809,14
KROODI TERMINAL AS,26268951,34255,1007555,15
ORLEN EESTI OÜ,22260360,51380,279055854,9
SANITEX OÜ,20179386,511577,60856016,251
CIRCLE K EESTI AKTSIASELTS,18759411,1273654,82125522,756
MAXIMA EESTI OÜ,14516746,3702289,157114182,3759
TELIA EESTI AS,13994993,6037220,99421203,1703
PETROIL PVTK OÜ,12871724,12447,196703,6
EESTI ENERGIA AS,12694228,3173210,279984653,883
AKTSIASELTS A. LE COQ,12271832,820358,29270164,323
4U LOGISTICS OÜ,11419543,75014,416144,24
PRIKE AS,10818596,261284,36400656,87
MAARDU TERMINAL AS,9762947,30372,12269289,10
RIMI EESTI FOOD AS,8767651,2901844,119723397,2608
SAKU ÕLLETEHASE AS,8154834,802349,24359784,282
LIVIKO AS,7385691,493055,25202125,180
G4S EESTI AS,6703293,3570559,17962635,2288
SEB PANK AS,6420886,3339419,75235059,995
ELISA EESTI AS,5650424,2107698,40775064,695
IMPERIAL TOBACCO ESTONIA OÜ,5513772,69604,5803164,3
TALLINK GRUPP AS,5411304,1788808,110257449,551
TOYOTA BALTIC AS,5401581,238983,129741702,39
OÜ VIA 3L,5071256,491120,13499218,242
IDA-TALLINNA KESKHAIGLA AS,5030392,5255001,1036279,2435
EESTI POST AS,4893572,3043682,24152465,2174
JETOIL AS,4730328,56577,34251024,21
AS EESTI GAAS,4694103,362524,80219658,80
DSV TRANSPORT AS,4690851,745585,31628615,179
AS GAASIVÕRGUD,4630759,245054,9623906,94
SELVER AS,4492745,2887923,120522622,2823
LUMINOR BANK AS,4336598,3447836,97318720,614
MAGNUM MEDICAL OÜ,4325650,53898,116474213,20
ALSO EESTI OÜ,3977302,181224,39280154,44
SANDMANI GRUPI AS,3961521,429137,60163678,146
DHL EXPRESS ESTONIA AS,3807715,528986,22426133,115
CF&S ESTONIA AS,3776049,393336,8871170,122
ORKLA EESTI AS,3714795,1109992,34012199,514
WÜRTH AS,3701092,824015,13279761,184
TREV-2 GRUPP AS,3570177,1337133,35120959,386
ERICSSON EESTI AS,3559371,3578391,311982878,1605
AUTO 100 AS,3533172,296082,57635206,62
TELE2 EESTI AS,3490579,1007896,31183388,315
ABB AS,3380042,3525228,59988988,1319
SKYPE TECHNOLOGIES OÜ,3262675,3286076,8994635,254
LÄÄNE-TALLINNA KESKHAIGLA AS,3249686,3394583,423036,1804
TALLINNA LINNATRANSPORDI AS,3240180,3399713,3776040,1835
ALTIA EESTI AS,3232547,199898,8262481,62
OLYMPIC CASINO EESTI AS,3091496,1027277,629625,485
SCANIA EESTI AS,3085760,651505,30145597,154
ME GROUP BALTIC OÜ,3062037,35277,8396684,15
OSAÜHING INCHCAPE MOTORS ESTONIA,3044840,702503,27954485,185
PRISMA PEREMARKET AS,2970714,871739,53849083,814
MONOTAL AS,2966765,55323,3346570,33
